iso,year,IMF,OECD,EC,owa_0.1,owa_0.2,owa_0.3,owa_0.4,owa_0.5,owa_0.6,owa_0.7,owa_0.8,owa_0.9,mean,spread,range,most_opt,most_pes
POL,2027,2.38,2.6221,2.7563,2.4256,2.468,2.5086,2.5479,2.5861,2.6232,2.6591,2.6938,2.7266,2.5861,0.2258,0.3763,EC,IMF
PRT,2026,1.93,1.7596,1.6931,1.7091,1.7282,1.749,1.7711,1.7942,1.8184,1.8438,1.8703,1.8987,1.7942,0.1422,0.2369,IMF,EC
PRT,2027,1.8,1.7471,1.8181,1.7568,1.7654,1.7735,1.7811,1.7884,1.7953,1.8019,1.808,1.8136,1.7884,0.0426,0.071,EC,OECD
ROU,2026,0.694,-0.1315,0.1477,-0.0687,0.002,0.0771,0.1555,0.2367,0.3206,0.4073,0.4973,0.5918,0.2367,0.4953,0.8255,IMF,OECD
ROU,2027,2.452,2.5281,2.3487,2.3687,2.3878,2.4065,2.4249,2.443,2.4608,2.4783,2.4955,2.5122,2.443,0.1076,0.1794,OECD,EC
SVK,2026,0.601,0.7077,0.8077,0.6222,0.6431,0.664,0.6848,0.7055,0.7261,0.7467,0.7671,0.7875,0.7055,0.124,0.2067,EC,IMF
SVK,2027,1.649,1.5785,1.5203,1.5323,1.5446,1.5571,1.5698,1.5826,1.5955,1.6086,1.6218,1.6352,1.5826,0.0772,0.1287,IMF,EC
SVN,2026,2.0,1.9291,1.94,1.9325,1.9375,1.9432,1.9495,1.9564,1.9637,1.9715,1.98,1.9893,1.9564,0.0426,0.0709,IMF,OECD
SVN,2027,2.1,2.2344,2.27,2.1243,2.1457,2.1654,2.184,2.2015,2.218,2.2334,2.2477,2.2603,2.2015,0.102,0.17,EC,IMF
SWE,2026,1.963,1.899,1.7604,1.7861,1.8097,1.8321,1.8535,1.8741,1.894,1.9131,1.9313,1.9482,1.8741,0.1216,0.2026,IMF,EC
SWE,2027,1.906,2.5437,2.1702,1.9617,2.0206,2.0814,2.1434,2.2067,2.271,2.3365,2.4033,2.4719,2.2067,0.3826,0.6377,OECD,IMF
TUR,2026,3.366,3.0689,2.9716,2.9963,3.0269,3.0608,3.0971,3.1355,3.176,3.2185,3.2635,3.3118,3.1355,0.2366,0.3944,IMF,EC
TUR,2027,3.472,3.8009,4.0051,3.5345,3.5933,3.6501,3.7054,3.7593,3.812,3.8634,3.9132,3.961,3.7593,0.3199,0.5331,EC,IMF
USA,2026,2.324,1.9501,2.1745,1.993,2.0337,2.0732,2.1118,2.1495,2.1865,2.2228,2.2581,2.2921,2.1495,0.2244,0.3739,IMF,OECD
USA,2027,2.1,1.799,2.0546,1.8446,1.884,1.92,1.9534,1.9845,2.0136,2.0404,2.0646,2.0854,1.9845,0.1806,0.301,IMF,OECD
