iso,round,target,IMF,OECD,EC,actual
NOR,spring2022,2023,2.573636,2.323497,2.574746,0.353
NZL,spring2022,2023,2.644691,2.01693,2.500027,2.181
POL,spring2022,2023,2.853384,1.763234,3.019462,0.25
PRT,spring2022,2023,2.1,1.703905,2.660492,3.1
ROU,spring2022,2023,3.387742,2.643899,3.6026,2.258
SVK,spring2022,2023,5.0,3.353611,3.568805,2.113
SVN,spring2022,2023,2.986727,2.489174,3.083663,2.376
SWE,spring2022,2023,2.71667,1.039345,1.39559,-0.204
TUR,spring2022,2023,3.039585,3.01138,3.041082,5.045
USA,spring2022,2023,2.250052,1.217898,2.331949,2.935
AUS,autumn2022,2023,1.891489,1.911281,2.500003,2.135
AUT,autumn2022,2023,1.0,0.102829,0.303356,-0.786
BEL,autumn2022,2023,0.38063,0.483916,0.160819,1.714
BGR,autumn2022,2023,2.969365,1.6827,1.08062,1.682
CAN,autumn2022,2023,1.450822,1.033163,1.599988,1.953
CHE,autumn2022,2023,0.800175,0.597191,1.206889,0.875
CZE,autumn2022,2023,1.498109,-0.123214,0.054449,0.048
DEU,autumn2022,2023,-0.293739,-0.2964,-0.625955,-0.872
DNK,autumn2022,2023,0.6,0.135439,0.012541,0.607
ESP,autumn2022,2023,1.211338,1.251792,0.95504,2.461
EST,autumn2022,2023,1.8,0.482223,0.671181,-2.744
FIN,autumn2022,2023,0.466888,-0.290325,0.239988,-1.289
FRA,autumn2022,2023,0.657947,0.631926,0.439507,1.62
GBR,autumn2022,2023,0.314638,-0.412702,-0.922871,0.272
GRC,autumn2022,2023,1.811467,1.592978,0.976941,2.136
HRV,autumn2022,2023,3.5,0.759028,1.001592,3.76
HUN,autumn2022,2023,1.8,1.455432,0.082031,-0.817
IRL,autumn2022,2023,3.999857,3.847246,3.172256,-2.536
ISL,autumn2022,2023,2.915906,2.534195,2.362483,5.032
ITA,autumn2022,2023,-0.181252,0.200254,0.314737,0.923
JPN,autumn2022,2023,1.613199,1.820019,1.615401,0.721
KOR,autumn2022,2023,2.043515,1.772959,1.6,1.583
LTU,autumn2022,2023,1.113781,1.55645,0.476937,0.826
LUX,autumn2022,2023,1.119902,1.450957,0.951937,0.099
LVA,autumn2022,2023,1.607737,-0.224889,-0.337062,-0.942
MEX,autumn2022,2023,1.150105,1.634958,1.400044,3.107
NLD,autumn2022,2023,0.798318,0.815621,0.648573,-0.601
NOR,autumn2022,2023,2.570613,1.84843,1.843153,0.353
NZL,autumn2022,2023,1.905667,1.029121,2.299996,2.181
POL,autumn2022,2023,0.493281,0.908634,0.672137,0.25
PRT,autumn2022,2023,0.650058,1.026913,0.716961,3.1
ROU,autumn2022,2023,3.079996,1.43275,1.791199,2.258
SVK,autumn2022,2023,1.5,0.544324,0.516794,2.113
SVN,autumn2022,2023,1.671521,0.528574,0.825411,2.376
SWE,autumn2022,2023,-0.135705,-0.633805,-0.558947,-0.204
TUR,autumn2022,2023,3.026278,2.960803,3.471489,5.045
USA,autumn2022,2023,0.995303,0.544246,0.699438,2.935
